words,match_id,team_name,outcome
Pressure,3955632,AFC Bournemouth,Drawn
Duel-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Duel,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Pass-Ball Receipt-Carry-Pass,3955632,AFC Bournemouth,Drawn
Dribble,3955632,AFC Bournemouth,Drawn
Ball Receipt-Carry-Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Dribbled Past,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Pass-Ball Receipt-Pass,3955632,AFC Bournemouth,Drawn
Ball Recovery-Carry-Shot,3955632,AFC Bournemouth,Drawn
Duel,3955632,AFC Bournemouth,Drawn
Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Carry-Dribble,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Block,3955632,AFC Bournemouth,Drawn
50/50-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Foul Won-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Duel,3955632,AFC Bournemouth,Drawn
Foul Committed,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Foul Won-Pass,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Goal Keeper-Clearance-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Shot,3955632,AFC Bournemouth,Drawn
Ball Recovery-Carry-Dribble,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Duel,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Duel-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Shot,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Duel-Ball Recovery-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Foul Won-Shot,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Miscontrol,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Foul Committed,3955632,AFC Bournemouth,Drawn
Clearance,3955632,AFC Bournemouth,Drawn
Duel,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Clearance,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Pass-Ball Receipt-Carry-Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Carry-Dribble,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Block,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Dispossessed,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Foul Committed,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Dribble-Carry,3955632,AFC Bournemouth,Drawn
Foul Won-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Carry-Dispossessed,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Pass-Ball Receipt-Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
