words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Dispossessed,Marcos Senesi,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Marcos Senesi,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Marcos Senesi,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure-Foul Committed,Marcos Senesi-Marcos Senesi,3955731,AFC Bournemouth,Lost,2,3,First half
Duel,Illia Zabarnyi,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Duel,Kepa Arrizabalaga Revuelta-Antoine Semenyo-Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Recovery,Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Duel,Adam Smith-Ryan Christie-Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt,Marcos Senesi-Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Duel,Adam Smith,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Lewis Cook-Lewis Cook-Lewis Cook-Adam Smith-Adam Smith-Adam Smith-Illia Zabarnyi-Illia Zabarnyi-Illia Zabarnyi-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
