words,match_id,team_name,outcome,goals_scored,goals_conceded
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Foul Committed,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Shot,3946626,Barcelona,Won,1,0
Pass-Foul Committed,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
